tconst,stars,n,date
tt0030341,10,7444,2023-02-14
tt0030993,1,289,2023-02-14
tt0030993,2,150,2023-02-14
tt0030993,3,194,2023-02-14
tt0030993,4,344,2023-02-14
tt0030993,5,848,2023-02-14
tt0030993,6,1947,2023-02-14
tt0030993,7,4720,2023-02-14
tt0030993,8,7761,2023-02-14
tt0030993,9,4727,2023-02-14
tt0030993,10,5421,2023-02-14
tt0031381,1,5568,2023-02-14
tt0031381,2,2570,2023-02-14
tt0031381,3,3405,2023-02-14
tt0031381,4,5097,2023-02-14
tt0031381,5,9983,2023-02-14
tt0031381,6,20333,2023-02-14
tt0031381,7,45001,2023-02-14
tt0031381,8,76085,2023-02-14
tt0031381,9,62711,2023-02-14
tt0031381,10,87807,2023-02-14
tt0031679,1,2361,2023-02-14
tt0031679,2,740,2023-02-14
tt0031679,3,954,2023-02-14
tt0031679,4,1425,2023-02-14
tt0031679,5,3078,2023-02-14
tt0031679,6,6824,2023-02-14
tt0031679,7,18842,2023-02-14
tt0031679,8,33073,2023-02-14
tt0031679,9,26325,2023-02-14
tt0031679,10,22938,2023-02-14
tt0031725,1,206,2023-02-14
tt0031725,2,90,2023-02-14
tt0031725,3,118,2023-02-14
tt0031725,4,256,2023-02-14
tt0031725,5,729,2023-02-14
tt0031725,6,1651,2023-02-14
tt0031725,7,4177,2023-02-14
tt0031725,8,6716,2023-02-14
tt0031725,9,4142,2023-02-14
tt0031725,10,3485,2023-02-14
tt0031885,1,871,2023-02-14
tt0031885,2,204,2023-02-14
tt0031885,3,287,2023-02-14
tt0031885,4,520,2023-02-14
tt0031885,5,1067,2023-02-14
tt0031885,6,2256,2023-02-14
tt0031885,7,4840,2023-02-14
tt0031885,8,7063,2023-02-14
tt0031885,9,5559,2023-02-14
tt0031885,10,7099,2023-02-14
tt0031971,1,1196,2023-02-14
tt0031971,2,230,2023-02-14
tt0031971,3,362,2023-02-14
tt0031971,4,606,2023-02-14
tt0031971,5,1621,2023-02-14
tt0031971,6,4027,2023-02-14
tt0031971,7,10225,2023-02-14
tt0031971,8,15436,2023-02-14
tt0031971,9,8740,2023-02-14
tt0031971,10,7967,2023-02-14
tt0032138,1,5366,2023-02-14
tt0032138,2,2322,2023-02-14
tt0032138,3,3204,2023-02-14
tt0032138,4,5454,2023-02-14
tt0032138,5,12882,2023-02-14
tt0032138,6,30397,2023-02-14
tt0032138,7,73027,2023-02-14
tt0032138,8,108591,2023-02-14
tt0032138,9,71707,2023-02-14
tt0032138,10,92022,2023-02-14
tt0032455,1,1304,2023-02-14
tt0032455,2,843,2023-02-14
tt0032455,3,1286,2023-02-14
tt0032455,4,2151,2023-02-14
tt0032455,5,4589,2023-02-14
tt0032455,6,9034,2023-02-14
tt0032455,7,18799,2023-02-14
tt0032455,8,26312,2023-02-14
tt0032455,9,15395,2023-02-14
tt0032455,10,18759,2023-02-14
tt0032484,1,157,2023-02-14
tt0032484,2,83,2023-02-14
tt0032484,3,127,2023-02-14
tt0032484,4,250,2023-02-14
tt0032484,5,846,2023-02-14
tt0032484,6,2465,2023-02-14
tt0032484,7,6145,2023-02-14
tt0032484,8,6845,2023-02-14
tt0032484,9,2680,2023-02-14
tt0032484,10,2101,2023-02-14
tt0032551,1,1944,2023-02-14
tt0032551,2,635,2023-02-14
tt0032551,3,883,2023-02-14
tt0032551,4,1393,2023-02-14
tt0032551,5,3182,2023-02-14
tt0032551,6,6232,2023-02-14
tt0032551,7,15902,2023-02-14
tt0032551,8,28365,2023-02-14
tt0032551,9,18866,2023-02-14
tt0032551,10,17417,2023-02-14
tt0032553,1,3551,2023-02-14
tt0032553,2,1006,2023-02-14
tt0032553,3,1443,2023-02-14
tt0032553,4,2309,2023-02-14
tt0032553,5,4789,2023-02-14
tt0032553,6,10105,2023-02-14
tt0032553,7,27463,2023-02-14
tt0032553,8,59020,2023-02-14
tt0032553,9,60256,2023-02-14
tt0032553,10,56096,2023-02-14
tt0032599,1,1220,2023-02-14
tt0032599,2,331,2023-02-14
